,Problem Code,Status,Submit Count,Reading Time(m),Thinking Time(m),Coding Time(m),Debug Time(m),Total Time(m),Problem Level /10,By yourself?,Category,"1-2 line Comments
About your approach"
DZY Loves Chemistry,CF445-D2-B,,,,,,,0,,,,Video Solution - Eng Hussein Hesham
Kolya and Tanya,CF584-D2-B,,,,,,,0,,,,Video Solution - Eng Yahia Ashraf
Suffix Structures,CF448-D2-B,,,,,,,0,,,,Video Solution - Eng Mohamed Salah
Complete the Word,CF716-D2-B,,,,,,,0,,,,Video Solution - Eng Mohamed Salah
Sea and Islands,CF544-D2-B,,,,,,,0,,,,Video Solution - Eng Mohamed Salah
Hopscotch,CF141-D2-B,,,,,,,0,,,,Video Solution - Eng Yahia Ashraf
Valera and Contest,CF369-D2-B,,,,,,,0,,,,Video Solution - Eng Yahia Ashraf
Bear and Friendship Condition,CF791-D2-B,,,,,,,0,,,,Video Solution - Eng Mohamed Salah
Preparing Olympiad,CF550-D2-B,,,,,,,0,,,,Video Solution - SolverToBe (Java)
,,,,,,,,0,,,,
,,,,,,,,0,,,,Watch - Focused and Diffused Thinking
,,,,,,,,0,,,,Watch - Graph Theory - MST - Prime
,,,,,,,,0,,,,Watch - Graph Theory - MST - Kruskal
Highways,UVA 10147,,,,,,,0,,,,Video Solution - Eng Mahmoud Adel
ACM contest and Blackout,UVA 10600,,,,,,,0,,,,Video Solution - Eng Moaz Rashad
Virtual Friends,UVA 11503,,,,,,,0,,,,Video Solution - Eng Moaz Rashad
Arctic Network,UVA 10369,,,,,,,0,,,,
Trees on the level,UVA 122,,,,,,,0,,,,Video Solution - SolverToBe (Java)
Final Standings,TIMUS 1100,,,,,,,0,,,,Stable sort exercise
Farm,TIMUS 1349,,,,,,,0,,,,Learn Fermat’s Last Theorem
,,,,,,,,0,,,,
Mashmokh and Tokens,CF415-D2-B,,,,,,,0,,,,Video Solution - Eng Salma Yehia
Approximating a Constant Range,CF602-D2-B,,,,,,,0,,,,Video Solution - Eng Salma Yehia
Gena's Code,CF614-D2-B,,,,,,,0,,,,Video Solution - Eng Khaled Mohamed
OR in Matrix,Video Solution - Eng Mohamed Khaled ,,,,,,,0,,,,Video Solution - Eng Mohamed Khaled 
Fox And Two Dots,CF510-D2-B,,,,,,,0,,,,Video Solution - Eng Mohamed Adel
Routine Problem,CF337-D2-B,,,,,,,0,,,,Video Solution - Eng Mohamed Adel
Vasya and Wrestling,CF493-D2-B,,,,,,,0,,,,Video Solution - Eng Mohamed Khaled 
Hamming Distance Sum,CF608-D2-B,,,,,,,0,,,,Video Solution - Eng Mohamed Khaled 
Wet Shark and Bishops,CF621-D2-B,,,,,,,0,,,,Video Solution - Eng Mahmoud Mabrok
Kefa and Company,CF580-D2-B,,,,,,,0,,,,Video Solution - SolverToBe (Java)
Tavas and SaDDas,CF535-D2-B,,,,,,,0,,,,Video Solution - Eng Abanob Ashraf
,,,,,,,,0,,,,
Minimum Ternary String,CF1009-D12-B,,,,,,,0,,,,Video Solution - Eng Hussein Hesham
,CF1030-D12-B,,,,,,,0,,,,
,CF1051-D2-B,,,,,,,0,,,,
,CF1237-D12-B,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,,,,,,0,,,,Watch - Intro to Greedy
Painting Eggs,CF282-D2-B,,,,,,,0,,,,
Pasha Maximizes,CF435-D2-B,,,,,,,0,,,,Video Solution - Eng Hossam Yehia
Little Girl and Game,CF276-D2-B,,,,,,,0,,,,Video Solution - Eng Hossam Yehia
Pasha and String,CF525-D2-B,,,,,,,0,,,,Video Solution - Eng Hossam Yehia
Booking System,CF416-D2-C,,,,,,,0,,,,
Vanya and Exams,CF492-D2-C,,,,,,,0,,,,
The Skyline Problem,UVA 105,,,,,,,0,,,,
Hanoi Tower Troubles !,UVA 10276,,,,,,,0,,,,Video Solution - Eng Mahmoud Adel
Maze Exploration,UVA 784,,,,,,,0,,,,Video Solution - Eng Mahmoud Adel
IP-TV,UVA 1174,,,,,,,0,,,,
,,,,,,,,0,,,,
,,,Optional Problems,,,,,0,"You don't have to or encouraged to solve the next problem. If you felt you need so, try some of them. Or Proceed to next and solve in parallel, up to you.",,,
,,,,,,,,0,,,,
"Devu, the Dumb Guy",CF439-D2-B,,,,,,,0,,,,Video Solution - Solver to be (Java)
Find The Bone,CF796-D2-B,,,,,,,0,,,,Video Solution - Solver to be (Java)
Regular Bracket Sequence,CF26-D12-B,,,,,,,0,,,,Video Solution - Solver to be (Java)
Inbox (100500),CF465-D2-B,,,,,,,0,,,,
Different is Good,CF672-D2-B,,,,,,,0,,,,
Permutation,CF137-D2-B,,,,,,,0,,,,
Little Elephant and Magic Square,CF259-D2-B,,,,,,,0,,,,
Airport,CF218-D2-B,,,,,,,0,,,,
Cormen --- The Best Friend Of a Man,CF732-D2-B,,,,,,,0,,,,
Prison Transfer,CF427-D2-B,,,,,,,0,,,,
A and B and Compilation Errors,CF519-D2-B,,,,,,,0,,,,
Letter,CF43-D2-B,,,,,,,0,,,,
Game of Robots,CF670-D2-B,,,,,,,0,,,,
,,,,,,,,0,,,,
African Crossword,CF90-D2-B,,,,,,,0,,,,
Cows and Poker Game,CF284-D2-B,,,,,,,0,,,,
Find Marble,CF285-D2-B,,,,,,,0,,,,
Interesting drink,CF706-D2-B,,,,,,,0,,,,
Megacity,CF424-D2-B,,,,,,,0,,,,
Beautiful Paintings,CF651-D2-B,,,,,,,0,,,,
Ilya and Queries,CF313-D2-B,,,,,,,0,,,,
Code Parsing,CF255-D2-B,,,,,,,0,,,,
Hungry Sequence,CF327-D2-B,,,,,,,0,,,,
Chloe and the sequence,CF743-D2-B,,,,,,,0,,,,
Luxurious Houses,CF581-D2-B,,,,,,,0,,,,
,,,,,,,,0,,,,
Settlers' Training,CF63-D2-B,,,,,,,0,,,,
Far Relative’s Problem,CF629-D2-B,,,,,,,0,,,,
Wilbur and Array,CF596-D2-B,,,,,,,0,,,,
Text Document Analysis,CF723-D2-B,,,,,,,0,,,,
Shower Line,CF431-D2-B,,,,,,,0,,,,
Misha and Changing Handles,CF501-D2-B,,,,,,,0,,,,
Coat of Anticubism,CF667-D2-B,,,,,,,0,,,,
Ternary Logic,CF136-D2-B,,,,,,,0,,,,
Counting Rhombi,CF189-D2-B,,,,,,,0,,,,
Pashmak and Flowers,CF459-D2-B,,,,,,,0,,,,
,,,,,,,,0,,,,
The Monster and the Squirrel,CF592-D2-B,,,,,,,0,,,,
The Fibonacci Segment,CF365-D2-B,,,,,,,0,,,,
Spider Man,CF705-D2-B,,,,,,,0,,,,
Little Robber Girl's Zoo,CF686-D2-B,,,,,,,0,,,,
Unary,CF133-D2-B,,,,,,,0,,,,
Canvas Frames,CF127-D2-B,,,,,,,0,,,,
Ohana Cleans Up,CF554-D2-B,,,,,,,0,,,,
Garland,CF408-D2-B,,,,,,,0,,,,
Petya and Staircases,CF362-D2-B,,,,,,,0,,,,
Equidistant String,CF545-D2-B,,,,,,,0,,,,
Vanya and Food Processor,CF677-D2-B,,,,,,,0,,,,
Calendar,CF304-D2-B,,,,,,,0,,,,
Amr and Pins,CF507-D2-B,,,,,,,0,,,,
Polo the Penguin and Matrix,CF289-D2-B,,,,,,,0,,,,
,,,,,,,,0,,,,
George and Round,CF387-D2-B,,,,,,,0,,,,
Alyona and flowers,CF740-D2-B,,,,,,,0,,,,
Urbanization,CF735-D2-B,,,,,,,0,,,,
Testing Pants for Sadness,CF104-D2-B,,,,,,,0,,,,
Cells Not Under Attack,CF701-D2-B,,,,,,,0,,,,
Vanya and Books,CF552-D2-B,,,,,,,0,,,,
Worms,CF474-D2-B,,,,,,,0,,,,
Fortune Telling,CF59-D2-B,,,,,,,0,,,,
,,,,,,,,0,,,,
Walking in the Rain,CF192-D2-B,,,,,,,0,,,,
Dima and To-do List,CF366-D2-B,,,,,,,0,,,,
Sail,CF298-D2-B,,,,,,,0,,,,
Fox and Cross,CF389-D2-B,,,,,,,0,,,,
Rebranding,CF591-D2-B,,,,,,,0,,,,
Increase and Decrease,CF246-D2-B,,,,,,,0,,,,
Alyona and Mex,CF682-D2-B,,,,,,,0,,,,
Coins,CF58-D2-B,,,,,,,0,,,,
Berland National Library,CF567-D2-B,,,,,,,0,,,,
Art Union,CF416-D2-B,,,,,,,0,,,,
,,,,,,,,0,,,,
BerSU Ball,CF489-D2-B,,,,,,,0,,,,
Random Teams,CF478-D2-B,,,,,,,0,,,,
Friends,CF94-D2-B,,,,,,,0,,,,
War of the Corporations,CF625-D2-B,,,,,,,0,,,,
Road Construction,CF330-D2-B,,,,,,,0,,,,
Binary Number,CF92-D2-B,,,,,,,0,,,,
Before an Exam,CF4-D2-B,,,,,,,0,,,,
Running Student,CF9-D2-B,,,,,,,0,,,,
Anton and currency you all know,CF508-D2-B,,,,,,,0,,,,
Phone Numbers,CF151-D2-B,,,,,,,0,,,,
